chr14	23881912	1
chr14	23881913	1
chr14	23881914	1
chr14	23881915	1
chr14	23881916	1
chr14	23881917	1
chr14	23881918	1
chr14	23881919	1
chr14	23881920	1
chr14	23881921	1
chr14	23881922	1
chr14	23881923	1
chr14	23881924	1
chr14	23881925	1
chr14	23881926	1
chr14	23881927	1
chr14	23881928	1
chr14	23881929	1
chr14	23881930	1
chr14	23881931	1
chr14	23881932	1
chr14	23881933	1
chr14	23881934	1
chr14	23881935	1
chr14	23881936	1
chr14	23881937	1
chr14	23881938	1
chr14	23881939	1
chr14	23881940	1
chr14	23881941	1
chr14	23881942	1
chr14	23881943	1
chr14	23881944	3
chr14	23881945	3
chr14	23881946	3
chr14	23881947	3
chr14	23881948	3
chr14	23881949	3
chr14	23881950	3
chr14	23881951	3
chr14	23881952	3
chr14	23881953	3
chr14	23881954	3
chr14	23881955	3
chr14	23881956	3
chr14	23881957	3
chr14	23881958	3
chr14	23881959	3
chr14	23881960	3
chr14	23881961	3
chr14	23881962	3
chr14	23881963	3
chr14	23881964	3
chr14	23881965	3
chr14	23881966	3
chr14	23881967	3
chr14	23881968	3
chr14	23881969	3
chr14	23881970	3
chr14	23881971	3
chr14	23881972	3
chr14	23881973	4
chr14	23881974	4
chr14	23881975	4
chr14	23881976	4
chr14	23881977	4
chr14	23881978	4
chr14	23881979	4
chr14	23881980	4
chr14	23881981	4
chr14	23881982	4
chr14	23881983	5
chr14	23881984	5
chr14	23881985	5
chr14	23881986	5
chr14	23881987	5
chr14	23881988	5
chr14	23881989	5
chr14	23881990	5
chr14	23881991	5
chr14	23881992	10
chr14	23881993	10
chr14	23881994	13
chr14	23881995	13
chr14	23881996	13
chr14	23881997	15
chr14	23881998	15
chr14	23881999	16
chr14	23882000	16
chr14	23882001	16
chr14	23882002	19
chr14	23882003	19
chr14	23882004	29
chr14	23882005	29
chr14	23882006	29
chr14	23882007	29
chr14	23882008	29
chr14	23882009	36
chr14	23882010	36
chr14	23882011	36
chr14	23882012	36
chr14	23882013	35
